#SampleID	V_D0_P1	V_D0_P2	V_D0_P3	V_W10_P1	V_W10_P2	V_W10_P3	V_W17_P1	V_W17_P2	V_W17_P3	Taxa
#RatonA	V_D0_R1	V_D0_R2	V_D0_R3	V_W!0_R1	V_W10_R2	V_W10_R3	V_W!7_R1	V_W17_R2	V_W17_R3	Taxa
#RatonB	V_D0_R6	V_D0_R5	V_D0_R4	V_W10_R6	V_W10_R5	V_W10_R4	V_W17_R6	V_W17_R5	V_W17_R4	Taxa
scaffold_3954	19.79706217	63.06365345	44.60062301	40.7519522	48.78439134	60.59344609	40.7818659	212.7415761	231.5021098	Caudovirales
scaffold_4388	22.63096391	73.27844571	33.59018006	10.96129317	2121.986677	126.0392348	31.91080504	2723.396277	2398.773798	Caudovirales
scaffold_4307	10.50640443	74.96879196	47.33956777	75.69545954	129.4506581	42.87634497	23.61070856	11.48166783	7.560577255	Caudovirales
scaffold_3517	40.97930682	59.17804882	35.56103246	56.23685436	25.64626852	14.86537015	46.04574654	49.75915112	445.6171001	Caudovirales
scaffold_5846	16.06771981	81.89409966	38.61207596	0	257.929607	36.7202745	0	0	0	Caudovirales
scaffold_5682	105.6061008	12.85382997	18.93882851	38.93526388	71.02418825	30.87586154	47.22890189	103.3513895	63.51891533	Caudovirales
scaffold_5235	52.30702023	60.93689003	25.1396298	0	21.04427805	29.27499406	4.47801536	34.8418751	38.71642762	Caudovirales
scaffold_5620	37.57888253	47.8830971	54.55939226	38.67777985	8.819311991	10.2238918	37.53325675	61.60074788	378.5931382	Caudovirales
scaffold_5328	90.60876346	38.48463043	14.51602965	149.2134122	8.505915028	39.44233065	54.2992514	37.40739586	43.46901365	Caudovirales
scaffold_3845	26.60523645	17.25841216	101.7141534	756.7731188	698.1848075	1069.959557	253.650735	105.7268501	87.02525078	Caudovirales
scaffold_3022	62.11312798	69.64732556	19.90173959	42.61964395	145.7720447	226.4438771	24.81508574	128.2155433	50.65728433	Caudovirales
scaffold_3305	93.86574623	40.05341451	18.36012476	116.8314323	33.81220256	92.64791777	19.62246572	76.33777969	12.56693908	Caudovirales
scaffold_5058	29.16648127	60.94895409	63.0805468	12.00775186	32.8561082	0	39.32694351	78.62223169	100.7456066	Caudovirales
scaffold_4678	47.23478637	59.47859312	46.73906026	22.87813913	15.65002807	99.78364139	62.44072549	125.5059539	103.9721965	Caudovirales
scaffold_3622	69.80913857	75.90482111	8.387860236	57.48042116	104.8535401	30.38817682	34.86219048	54.25010809	20.09431063	Caudovirales
scaffold_3891	26.85013002	113.2122608	14.66434328	80.39357874	27.49703017	79.69064412	3.65693596	26.67500885	42.15662075	Caudovirales
scaffold_5250	67.37338611	59.52080918	28.78291335	49.31096655	54.81397591	127.0875006	8.972211443	74.17274969	34.47677866	Caudovirales
scaffold_3454	54.04517277	18.3638617	83.87765264	222.5023368	149.0340903	275.6960633	74.22188773	67.26499741	6.481962293	Caudovirales
scaffold_3813	28.88688973	34.35389087	95.44922002	336.9582714	132.1984125	259.3505102	79.34249727	66.64425837	34.64578248	Caudovirales
scaffold_2985	124.8539712	10.43207951	24.59299559	42.13278787	17.292822	33.41151427	79.72775232	98.41834695	41.24120992	Caudovirales
scaffold_2372	38.67671871	43.00971268	81.32546908	379.9827762	133.6788794	241.0626135	165.9323782	181.8757891	210.0080151	Caudovirales
scaffold_3453	99.08281674	29.84127526	35.1744995	88.07384166	50.73500947	95.57463528	23.61605519	65.62438771	12.96392459	Caudovirales
scaffold_2338	84.43612076	55.90175546	25.10190526	7.167442222	44.1266679	28.41909	39.12383693	53.27156179	35.07885476	Caudovirales
scaffold_1999	41.70494227	36.2142883	88.15689314	314.779634	160.9524438	355.5220213	131.9053052	81.02440712	160.0615777	Caudovirales
scaffold_3442	57.34508155	12.60802445	97.27414034	268.4921911	107.6656103	359.7540598	47.16802339	26.21413805	19.41950169	Caudovirales
scaffold_387	72.07201068	35.90514728	59.250947	33.46446786	796.6317132	1010.193884	30.03864709	10.65953762	21.83754764	Caudovirales
scaffold_4983	85.25347218	44.18854253	38.19633129	107.080462	40.69416627	28.30511632	25.97795484	73.69155307	33.27444985	Caudovirales
scaffold_5002	17.36997692	72.30068867	78.26532908	11.91861135	220.132338	61.43487473	13.01166559	8.436602508	0	Caudovirales
scaffold_2209	30.18000543	70.07434124	68.49590875	62.12508342	47.21922986	98.53101188	45.21504431	207.6611884	246.1375181	Caudovirales
scaffold_6065	78.88398048	67.00943088	23.6956012	81.19073867	27.76968292	10.73077786	44.3183652	62.26020244	37.84411897	Caudovirales
scaffold_4997	124.3762091	23.58778745	24.32796636	47.63284465	57.02154642	75.54617432	56.33468363	170.6921247	24.97761386	Caudovirales
scaffold_2184	89.81315214	66.12095912	17.98571034	116.4053035	135.8364328	116.7449943	27.40958825	63.00994899	43.08732386	Caudovirales
scaffold_4485	18.90296878	44.04334732	111.9412052	38.91147452	87.45847661	17.6325694	16.18287262	62.95664275	69.95766718	Caudovirales
scaffold_3428	35.85958725	9.138473434	130.6068481	18.45410411	151.484653	65.85389131	20.14652752	26.12551689	0	Caudovirales
scaffold_4224	31.13678838	66.12427695	81.0596685	96.14190992	43.84457961	165.1888804	83.57851994	266.5454583	268.878392	Caudovirales
scaffold_2474	35.17715735	71.71650151	71.52847671	96.5488598	172.7337248	265.0283136	116.213942	165.5984549	145.3935009	Caudovirales
scaffold_4203	45.26608306	44.82415871	88.57652408	74.54363632	109.2693142	8.444783044	23.2514352	109.3005799	37.22765702	Caudovirales
scaffold_2768	88.15879246	51.92240801	38.83970921	44.36019796	38.62097648	12.79194973	19.07788045	74.21916568	39.4740777	Caudovirales
scaffold_4239	3.901260019	125.9318566	51.56279951	32.12273831	102.5448289	165.5777126	11.68957011	7.579372202	0	Caudovirales
scaffold_4325	105.5239346	34.9592974	41.2072131	86.88776755	59.43647747	51.67682995	189.7124661	69.19155499	22.78101511	Caudovirales
scaffold_4657	177.3790286	0	6.660260259	0	0	0	4.15227344	4.038423859	0	Caudovirales
scaffold_4832	58.20368071	83.93110579	44.34849101	87.66687361	183.9062613	78.78964497	38.28271632	62.05509553	40.86273446	Caudovirales
scaffold_3719	115.9341608	71.14849485	0	389.6305494	53.3061627	15.44894999	202.0476695	60.33134288	61.29410168	Caudovirales
scaffold_3533	57.15121718	62.91838959	68.66957992	94.11593098	19.31429326	37.31720507	49.66119034	93.26809531	177.6683513	Caudovirales
scaffold_530	82.56047573	82.17098813	26.55744491	363.986303	189.4876486	150.6886159	204.0403878	127.8768222	264.7803417	Caudovirales
scaffold_2659	69.75446917	58.44250018	63.14671661	70.8107754	78.04036049	131.0243753	28.63141559	112.7778466	162.2788876	Caudovirales
scaffold_2452	126.4905694	16.46038158	49.58333944	73.8663599	60.63485841	58.57639768	38.97630635	104.5727726	72.30326329	Caudovirales
scaffold_1293	138.3067371	17.54995093	37.23565171	115.7710681	75.96197402	119.9112407	77.38066362	135.4661876	62.77268747	Caudovirales
scaffold_580	34.0029312	82.62691227	76.75965477	462.3880289	286.3155689	392.46672	702.3886106	602.5557707	369.7546096	Caudovirales
scaffold_3665	76.21510038	90.83843012	26.76826214	125.5101025	56.13693301	49.76507362	29.86346784	100.8020308	87.7529752	Caudovirales
scaffold_3984	85.98465081	64.78439028	43.42189226	82.08607514	136.8700857	56.95783932	113.8846846	90.78862661	28.6960857	Caudovirales
scaffold_3120	156.1381439	19.35745065	20.28178554	78.18032458	53.48006091	58.55309389	50.57791505	98.38227749	42.51441086	Caudovirales
scaffold_1750	133.7736647	15.78948856	46.52845368	46.37828374	55.5197045	50.57004426	61.17988614	135.4192973	68.9059577	Caudovirales
scaffold_2083	81.43222563	66.73264578	47.96285688	65.73607896	74.19628553	46.91613933	38.27452049	93.06271552	121.7959466	Caudovirales
scaffold_3770	60.94206936	46.28699386	89.0179558	103.3103857	10.09579136	54.6171062	37.59498908	60.94031101	247.6511506	Caudovirales
scaffold_3809	126.3801426	26.99234283	43.3860091	158.5685983	101.6910865	157.1821274	108.1943145	142.0574981	27.71662599	Caudovirales
scaffold_4344	156.2696486	18.89944376	22.27714698	152.6610786	44.75545382	34.58885968	49.60166834	111.9206497	76.24009984	Caudovirales
scaffold_774	34.58461435	89.39466744	73.71040984	530.5491898	379.1608558	479.8720955	803.1160082	704.3059365	394.6469195	Caudovirales
scaffold_2515	96.9552106	68.06384942	32.97049367	64.01649279	56.67089358	23.88960148	26.03649604	85.29721741	73.71980074	Caudovirales
scaffold_5919	29.14795835	92.43831505	77.82776034	560.0058814	237.1434151	401.7934537	815.1519274	653.5894075	461.4574504	Caudovirales
scaffold_5850	135.0343017	6.554705242	57.94620226	79.41887483	81.49095605	31.48978508	52.98478116	131.172394	92.54557222	Caudovirales
scaffold_2652	71.54181143	44.72855407	83.66820183	70.68851219	5.372801003	56.05634834	54.3057621	52.8167734	178.4731373	Caudovirales
scaffold_5741	196.8541925	3.236542674	0	0	17.88360487	10.3658903	0	0	0	Caudovirales
scaffold_2334	153.9932797	46.11691042	0	0	142.1112916	73.85084679	0	10.14163766	5.008634381	Caudovirales
scaffold_4587	82.38866437	16.79677159	102.2932102	260.0469178	139.2165297	416.9200583	78.17420186	72.02915397	39.52547016	Caudovirales
scaffold_2217	153.7650239	25.69544146	22.21099721	55.3482788	61.52504064	49.37789873	47.83587409	90.59991514	62.8840712	Caudovirales
scaffold_3184	96.04937337	57.65755932	48.7275448	17.5747714	69.12767549	55.74753108	35.17534409	79.30705142	64.51075931	Caudovirales
scaffold_1832	24.70997594	97.79028127	80.33783785	377.0002322	317.2467595	448.4446415	762.1756904	606.7889012	280.3231963	Caudovirales
scaffold_1551	70.70482172	38.00254645	94.99491625	571.5941358	434.4498775	765.9542674	208.9679718	125.5020286	142.4649087	Caudovirales
scaffold_4967	28.86173789	136.8055731	38.14644492	0	8.12820352	0	0	8.410892357	16.61549586	Caudovirales
scaffold_5425	107.0267259	79.48638291	18.37101308	37.76792433	47.36515644	19.96677024	25.19709842	64.60733078	96.82281684	Caudovirales
scaffold_3214	32.21351406	168.5644266	5.160784756	114.9391188	93.7455439	7.011331047	35.39184281	21.90455753	18.5450894	Caudovirales
scaffold_2347	143.1338541	10.67598911	52.43332853	57.49051076	58.99046915	34.19269975	56.22514967	110.6387781	80.3913512	Caudovirales
scaffold_3090	158.4458246	11.76589303	36.56291023	34.55982271	50.23713505	13.70305726	56.5939491	136.0766031	48.3264248	Caudovirales
scaffold_857	30.98732223	98.76590159	77.61154365	519.2795375	285.1581415	333.4227171	617.2503447	532.9166868	342.9645081	Caudovirales
scaffold_1994	144.924854	17.28765399	46.31204227	107.9050092	60.78762065	40.2678678	61.21030437	157.2543467	88.75766042	Caudovirales
scaffold_361	38.87452333	81.91395278	89.0299347	418.9103421	272.5993457	402.0447879	826.7093079	575.1847161	309.4117891	Caudovirales
scaffold_3220	157.0267706	26.31239885	28.43036469	53.1348864	36.34746947	42.13623415	38.6719198	115.9690672	49.5338014	Caudovirales
scaffold_3309	145.3080057	22.27389949	44.63296361	80.96327615	55.38376776	78.47190783	45.83102602	149.6426381	66.04166724	Caudovirales
scaffold_5687	44.15488901	9.64495876	159.1618427	129.8459562	550.6993226	350.0929039	51.97650749	13.78674102	9.078447665	Caudovirales
scaffold_3750	21.41632115	117.6447249	74.33864071	19.59340989	60.31383753	163.1455699	10.69515944	26.0047825	61.64611375	Caudovirales
scaffold_2504	35.46668128	91.77396561	86.32208921	52.41573111	38.41663269	71.25589775	21.79915077	45.05307759	159.6785619	Caudovirales
scaffold_5106	148.2035548	44.8731813	21.15716141	72.49301456	41.32466464	134.1370984	35.17392853	42.76188522	33.78999025	Caudovirales
scaffold_4270	95.22953701	53.19087843	65.83199397	37.59451788	25.7169194	93.69687854	3.908791054	15.20646969	52.56996416	Caudovirales
scaffold_5298	84.29934305	84.39703922	47.02712376	123.9492279	8.478875334	9.829236577	13.53165949	78.96384091	25.99849726	Caudovirales
scaffold_4114	91.82896612	68.90510937	55.16817348	89.26347436	111.3476314	62.45857717	19.10780698	66.90203066	124.820796	Caudovirales
scaffold_3676	36.41314263	124.5254633	55.04273202	29.01518779	33.08023297	7.669730313	24.63701859	78.7306616	260.3442715	Caudovirales
scaffold_4443	53.7239967	80.77718095	83.91712035	94.00152749	94.56282154	135.9326068	76.46374525	275.9415097	452.3296086	Caudovirales
scaffold_3879	174.2691894	27.32974711	17.57133368	80.27535289	61.77733506	23.8720356	85.81161566	138.5060607	77.17348048	Caudovirales
scaffold_4315	219.8438005	0	0	0	7.414806785	8.595702519	0	0	0	Caudovirales
scaffold_2721	146.2256383	20.72975799	53.52335355	167.4455214	5.454421118	170.7237603	43.52426848	23.98750625	39.02432922	Caudovirales
scaffold_1201	153.3156156	27.70994384	39.84795371	114.1524208	41.34025374	33.72442184	38.28236749	135.4637189	73.55225181	Caudovirales
scaffold_3265	156.1422852	8.842526796	57.32573371	26.78471048	97.71924624	120.3623297	17.86958108	30.019347	56.18124727	Caudovirales
scaffold_2781	164.9530392	14.0122357	43.650746	56.59222153	60.83392131	64.11131203	52.95624562	150.2207548	56.52516881	Caudovirales
scaffold_2173	169.0533004	40.54740663	13.93992472	81.88085995	9.335241743	27.05497368	94.35626164	152.1435805	109.7266577	Caudovirales
scaffold_2965	95.87336494	94.61061546	34.31366086	109.1744799	106.2781368	149.8429311	126.8270399	135.2387382	105.689891	Caudovirales
scaffold_550	30.18554231	100.7632607	94.45932608	614.5366253	398.8940483	399.6111393	854.7708134	707.6007231	331.3201869	Caudovirales
scaffold_538	173.1498689	5.348556473	47.28336726	946.4200439	39.71264295	812.6127828	648.0323512	32.01493675	130.2651259	Caudovirales
scaffold_2095	88.15879246	100.4861987	40.44465587	39.59422628	18.05656043	26.16535172	31.21834983	56.05363562	9.227706475	Caudovirales
scaffold_4964	59.11509111	114.6403406	55.43746861	35.61585905	36.54509599	37.65807559	30.24169921	0	0	Caudovirales
scaffold_3212	49.39405489	78.80934232	101.9254989	8.841470678	42.33669725	21.03399314	16.08720128	59.45522759	237.9953139	Caudovirales
scaffold_3701	184.0883635	24.0580317	22.68614103	34.00771447	26.58666214	53.93657978	38.8944887	140.9954805	74.7283257	Caudovirales
scaffold_909	103.7706721	77.60269211	49.54723757	72.75811205	14.03795751	35.50618555	32.58697384	85.83651971	71.74021425	Caudovirales
scaffold_134	36.10972542	110.9475054	84.7281205	477.5436825	357.848535	419.2888372	783.4122313	614.013078	444.1987738	Caudovirales
scaffold_3021	173.8081961	18.98286827	39.77863306	140.5570317	84.49500953	81.06359154	111.5981805	171.8523292	113.1632468	Caudovirales
scaffold_4041	65.4396625	84.66618695	83.1647532	41.44817006	60.25023145	57.52006553	18.85390673	27.50543813	28.97934243	Caudovirales
scaffold_3890	67.10061936	87.05430204	79.15830854	195.8872248	137.434549	167.2887588	138.9124205	147.5473904	147.4938671	Caudovirales
scaffold_5065	77.35924333	58.02689191	98.21171095	306.4673314	135.6508047	238.2648497	129.0185042	114.847013	151.2514953	Caudovirales
scaffold_1695	40.34897157	72.50069268	121.6133018	658.8309342	400.6045559	569.3433702	1092.197832	748.3590173	379.9256364	Caudovirales
scaffold_238	186.5224612	1.584448946	46.42372726	1191.170513	0	1126.565624	668.336893	1.617750179	147.6470125	Caudovirales
scaffold_4576	52.0501168	117.2858869	65.83199397	45.11342146	42.43291701	53.66275771	28.72961425	15.96679318	15.77098925	Caudovirales
scaffold_966	59.63179542	125.9146337	50.04133865	3.896861791	23.99119808	9.270693436	21.27121231	9.654393075	8.173713731	Caudovirales
scaffold_4259	80.81627093	112.9417212	42.28728358	0	0	17.02239791	0	0	0	Caudovirales
scaffold_4134	140.7274279	33.90687547	61.48723482	105.3401003	7.205898682	133.6563732	11.50008267	26.09778815	55.2380268	Caudovirales
scaffold_4849	31.27142072	85.48802855	119.5533853	23.40790736	36.02794841	0	21.29553617	20.71164209	49.09836276	Caudovirales
scaffold_1515	79.20977338	140.8165208	16.75059912	26.08833873	169.5369844	115.8538349	54.11370387	40.62665211	102.1451187	Caudovirales
scaffold_4130	109.9384	79.48938823	47.61585218	0	21.60102216	0	22.98242515	3.725379819	14.71877901	Caudovirales
scaffold_3249	215.2869937	7.719534551	14.2986919	0	6.093499832	7.063961796	0	3.152712099	0	Caudovirales
scaffold_3805	45.72097374	91.98594969	99.7516003	178.3249218	149.0927901	164.9813277	178.4558201	143.7590943	533.351386	Caudovirales
scaffold_5522	69.54064188	149.6504907	18.5679983	12.72429836	0	50.45216537	0	0	8.896455474	Caudovirales
scaffold_5306	206.4198053	6.143546458	25.34531768	37.2185727	59.40608382	59.02903348	40.631883	83.42649434	39.03319839	Caudovirales
scaffold_3252	72.55459979	121.4258611	45.54042706	53.49941846	33.54709545	95.45694731	30.82530599	96.2519605	90.39595112	Caudovirales
scaffold_5760	144.7428619	47.0199453	47.77873843	39.2902399	44.79482602	0	47.65949169	95.02310574	91.5686036	Caudovirales
scaffold_1179	40.35840824	96.54144435	102.803712	573.7863292	407.6590956	395.2837063	660.2680988	526.9041748	385.6851746	Caudovirales
scaffold_2168	182.8667753	15.18250373	42.75135604	102.1977783	48.93661423	97.2520272	95.45460949	168.7952299	80.98084095	Caudovirales
scaffold_1608	139.4861783	50.9726562	50.59576829	16.25265184	40.76524779	4.296145086	43.37221864	21.09150627	7.575584355	Caudovirales
scaffold_3636	32.66933358	91.5801452	117.7607157	441.9241532	338.4476943	449.4877711	807.5842991	700.4369706	483.6214655	Caudovirales
scaffold_1902	197.3077736	27.32305029	17.89234337	52.11046043	0	19.44652196	87.00747633	100.895285	115.7318551	Caudovirales
scaffold_2718	175.2258989	37.50003533	30.24349489	55.79887263	43.62262497	31.60627766	150.8400641	299.0509481	228.5043156	Caudovirales
scaffold_3860	152.8214765	9.890817569	81.60951173	9.986688614	95.64096919	102.9534308	54.51283242	106.0363323	48.87679434	Caudovirales
scaffold_2190	145.7865932	94.26074674	6.005783818	13.71883387	32.84578648	43.51641909	2.49616438	77.68713644	100.7139575	Caudovirales
scaffold_3758	160.8533539	32.79355317	52.97085496	107.9186987	40.26703843	46.68004085	73.18867016	130.2108628	89.17241585	Caudovirales
scaffold_1000	176.3020845	17.82303588	53.10447514	177.9584014	102.5850741	233.089004	94.5927435	220.0902542	61.51263499	Caudovirales
scaffold_5329	143.4638755	36.94524522	67.13663713	198.9512163	51.03549017	88.74524396	126.6982533	39.60783091	139.1008437	Caudovirales
scaffold_2917	86.70020416	101.7384747	62.98888474	4.150489657	0	26.33087463	9.062261011	19.09653715	0	Caudovirales
scaffold_3338	245.9452182	6.715370425	0	0	12.36865418	14.33850874	0	0	0	Caudovirales
scaffold_3384	101.8226694	89.12757717	62.50192816	173.1481735	102.859091	90.33380193	28.18832173	137.0771852	152.9180393	Caudovirales
scaffold_3712	40.17903753	93.9601223	122.1118947	554.6297109	306.1826169	397.3849966	826.8012794	747.3085355	302.7411466	Caudovirales
scaffold_6043	88.52503077	127.003087	41.36476179	0	0	0	0	0	0	Caudovirales
scaffold_2843	205.6210709	20.25142674	31.03198277	196.2981359	86.72235362	214.0399476	98.22111365	186.7138708	74.34152259	Caudovirales
scaffold_135	46.75954788	98.83456651	111.9539941	631.31182	433.3078187	447.8761331	815.667409	639.5018645	371.6226439	Caudovirales
scaffold_3122	170.9623803	40.87873957	48.18457629	139.0314931	17.83236245	62.01713164	137.5524852	46.13137474	91.13131323	Caudovirales
scaffold_4603	118.2864196	82.72119609	59.49464019	67.95092112	89.09151871	98.78994538	16.48504244	44.09087493	31.67285808	Caudovirales
scaffold_2321	163.8743507	30.05082887	66.67577312	139.2167381	90.3489261	67.93820228	75.34263771	130.1295732	64.89083465	Caudovirales
scaffold_414	56.14957321	33.43531783	171.3370802	896.0546938	797.7032567	1189.738214	268.6076962	157.9607904	150.4228358	Caudovirales
scaffold_1660	124.1689311	73.60498963	63.24535414	197.2564148	57.01491292	304.0379778	40.44070874	37.36528655	85.46900118	Caudovirales
scaffold_1378	101.8638831	77.57171369	83.51571469	162.8144359	134.9998806	211.2752825	87.97535526	130.9640709	301.8354097	Caudovirales
scaffold_4391	151.821554	28.50862258	83.20910126	43.86278824	60.00958935	130.4378	15.96181288	102.847574	138.0040763	Caudovirales
scaffold_1053	92.97036997	48.15363128	122.5766577	163.4472391	123.1300836	146.0213861	34.63333468	81.28032108	11.57240569	Caudovirales
scaffold_856	51.05017241	94.29215704	118.4837243	662.8501891	567.7085277	595.4444648	916.4800428	719.0573953	445.8620792	Caudovirales
scaffold_4729	125.824274	39.90325409	99.10894242	178.4272922	7.874518551	159.7510044	41.89050218	50.92740337	68.41190402	Caudovirales
scaffold_1526	0	266.6223492	0	0	583.9017641	29.15855516	0	142.2215368	18.36306485	Caudovirales
scaffold_4548	135.0462095	77.86881931	55.72691835	314.4943866	176.7165104	164.7792636	245.2404461	85.46833837	62.82435223	Caudovirales
scaffold_647	65.04565827	96.47758715	107.5730052	577.7064311	508.3904113	628.7276432	988.1870638	748.6403527	345.0110359	Caudovirales
scaffold_2107	129.8802789	77.29894181	62.03491863	53.13919685	61.34133051	52.67456545	44.71803462	117.5457517	51.08587659	Caudovirales
scaffold_1205	22.87927117	132.7147382	113.8888086	596.5573472	242.3941159	325.4599956	985.0625594	663.5731021	415.5273379	Caudovirales
scaffold_5460	23.02990224	225.367707	22.1371133	12.64178786	77.82971346	160.4000292	39.10329948	44.74251909	8.838766554	Caudovirales
scaffold_3905	34.28650783	109.8439781	126.532643	645.286915	317.2671741	555.6913692	1056.699137	736.8937527	384.1957466	Caudovirales
scaffold_1992	29.27970308	102.1068275	140.7231559	881.8719613	646.6531937	812.5296604	918.8820899	752.2245018	374.8267773	Caudovirales
scaffold_3646	136.8000564	85.8146172	50.57569061	115.5285502	52.68566768	53.44192331	43.79293681	115.8507709	60.58062537	Caudovirales
scaffold_1584	53.45352781	106.3189948	114.3547695	646.7809652	537.9008516	644.8501101	1169.992252	894.7527138	401.547685	Caudovirales
scaffold_1948	156.9795272	78.84990993	41.00379858	405.8762981	166.5863317	235.2068176	284.0379223	156.9099979	82.95013563	Caudovirales
scaffold_4604	11.00795549	158.4978881	107.4654696	0	42.62667462	134.7694828	4.122971386	4.009925227	7.921501449	Caudovirales
scaffold_4741	82.72904619	51.45609978	143.2068651	415.638883	122.4164526	535.6060779	75.62617818	85.81138211	24.21687435	Caudovirales
scaffold_3312	131.1481937	51.24685968	95.86119399	188.9765973	36.93468543	278.3103128	36.02196464	20.70208182	31.45878172	Caudovirales
scaffold_2632	130.8462078	58.95766124	90.00114851	195.1774884	58.74580044	436.4703992	71.02572989	53.88107623	65.50193475	Caudovirales
scaffold_4002	206.2357272	17.83759718	57.06928889	164.6673905	133.7628907	106.097936	108.6104464	183.9462476	71.95662515	Caudovirales
scaffold_665	40.4466579	121.0415512	119.9353841	682.8751893	489.0734508	574.2329575	987.8868827	789.4026874	417.6319671	Caudovirales
scaffold_1410	121.0347429	86.17873885	76.00273506	180.288132	140.4568482	148.9264606	80.18687614	110.7787829	157.5652045	Caudovirales
scaffold_2395	129.9390074	76.58954585	80.71880221	54.58723997	102.0653097	28.85863859	38.40465386	90.1591588	78.87597423	Caudovirales
scaffold_5369	10.62913155	207.4115318	71.15464488	12.50280347	25.6580167	9.914786506	4.5498113	8.850123565	0	Caudovirales
